2682206 ; SIT Médio Tejo - 1ª Fase;01;240104;;;;;;;;;;;0.00;;
2682206 ; SIT Médio Tejo - 1ª Fase;02;240104;;;7421322;;;;2682206;;SIT MÉDIO TEJO - 1ª FASE;;0.00;;
2682206 ; SIT Médio Tejo - 1ª Fase;03;240104;;;;;;;;;;;0.00;;
2682206 ; SIT Médio Tejo - 1ª Fase;04;240104;;;;;;;;;;;0.00;;
2682206 ; SIT Médio Tejo - 1ª Fase;05;240104;;;;;;;;; ;;0.00;;
2682206 ; SIT Médio Tejo - 1ª Fase;06;240104;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682211 ; Cadastro Geométrico - Informatização;01;240110;;;;;;;;;;;0.00;;
2682211 ; Cadastro Geométrico - Informatização;02;240110;;;7421322;;;;2682211;;Cadastro Geométrico - Informatização;;0.00;;
2682211 ; Cadastro Geométrico - Informatização;03;240110;;;;;;;;;;;0.00;;
2682211 ; Cadastro Geométrico - Informatização;04;240110;;;;;;;;;;;0.00;;
2682211 ; Cadastro Geométrico - Informatização;05;240110;;;;;;;;;;;0.00;;
2682211 ; Cadastro Geométrico - Informatização;06;240110;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682212 ; Plano de Ação 2007/2013;01;240111;;;;;;;;;;;0.00;;
2682212 ; Plano de Ação 2007/2013;02;240111;;;7421321;;;;2682212;;Plano de Ação 2007/2013;;0.00;;
2682212 ; Plano de Ação 2007/2013;03;240111;;;;;;;;;;;0.00;;
2682212 ; Plano de Ação 2007/2013;04;240111;;;;;;;;;;;0.00;;
2682212 ; Plano de Ação 2007/2013;05;240111;;;;;;;;;;;0.00;;
2682212 ; Plano de Ação 2007/2013;06;240111;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682215 ; Projetos Regionais - MTD;01;240112;;;;;;;;;;;0.00;;
2682215 ; Projetos Regionais - MTD;02;240112;;;7421321;;;;2682215;;Projetos Regionais - MTD;;0.00;;
2682215 ; Projetos Regionais - MTD;03;240112;;;;;;;;;;;0.00;;
2682215 ; Projetos Regionais - MTD;04;240112;;;;;;;;;;;0.00;;
2682215 ; Projetos Regionais - MTD;05;240112;;;;;;;;;;;0.00;;
